KEY,LABEL_EN,LABEL_FR,LABEL_NL
SAVE_BUTTON,Save,Enregistrer,Opslaan
LOGOUT_BUTTON,Log out,Déconnexion,Uitloggen
LOGIN_BUTTON,Log in,Connexion,Inloggen
CLOSE_BUTTON,Close,Fermer,NL_Close
CANCEL_BUTTON,Cancel,Annuler,NL_Cancel
REGISTRATION_BUTTON,Registration,Enregistrement,
TITLE_ENTERPRISE,Enterprise CO2 Computer,Calculateur CO2 Entreprise,Bedrijf CO2 Rekenmodule
TITLE_MUNICIPALITY,Municipality CO2 Computer,Calculateur CO2 Commune,
FR,Français,Français,Français
NL,Nederlands,Nederlands,Nederlands
EN,English,English,English
LANGUAGE,Language,Langue,Taal
WELCOME,Welcome,Bienvenue,Welkom
LAST_SAVE,Last save:,Dernier enregistrement:,Laaste opslag:
PERIOD_DATA,Data,Données,Gegevens
ADD_NEW_ITERATION,Add,Ajouter,Toevoegen
FILLED_BY,Filled by,Rempli à,Ingevuld tot
SITE_MANAGER_BUTTON,Manage sites,Gérer les sites,Plaatsen beheren
USER_MANAGER_BUTTON,Manage users,Gérer les utilisateurs,Gebruikers beheren
USER_DATA_BUTTON,My profile,Mon profil,Mijn profiel
FIELD_INTEGER_ERROR_MESSAGE,This field excepts an integer,Ce champs necessite un nombre entier,Dit gebied vereist een integer.
FIELD_DECIMAL_ERROR_MESSAGE,This field excepts a decimal,Ce champs necessite un nombre décimal.,Dit gebied vereist een decimaal nummer.
USER_IDENTIFIER,Identifier,Identifiant,Identificatie
USER_PASSWORD,Password,Mot de passe,Wachtwoord
UPDATE_PASSWORD_BUTTON,Update Password,Modifier le mot de passe,Wachtwoord bijwerken
USER_LASTNAME,Last Name,Nom,Naam
USER_FIRSTNAME,First name,Prénom,Voornaam
USER_EMAIL,Email Address,Adresse e-mail,Email adres
UPDATE_EMAIL_BUTTON,Update Email Address,Modifier l'adresse e-mail,Email adres bijwerken
USER_LASTNAME_WRONG_LENGTH,The last name should contain at least 1 character,Le nom doit contenir au moins 1 caractère,NL_The last name should contain at least 1 character
USER_FIRSTNAME_WRONG_LENGTH,The first name should contain at least 1 character,Le prénom doit contenir au moins 1 caractère,NL_The first name should contain at least 1 character
EMAIL_CHANGE_FORM_TITLE,Update Email Address Form,Modification de votre adresse e-mail,NL_Update Email Address Form
EMAIL_CHANGE_FORM_PASSWORD_FIELD_TITLE,Password,Mot de passe,Wachtwoord
EMAIL_CHANGE_FORM_PASSWORD_FIELD_PLACEHOLDER,Password,Mot de passe,Wachtwoord
EMAIL_CHANGE_FORM_OLD_EMAIL_FIELD_TITLE,Old Email Address,Ancienne adresse e-mail,Oude email adres
EMAIL_CHANGE_FORM_NEW_EMAIL_FIELD_TITLE,New Email Address,Nouvelle adresse e-mail,Nieuwe email adres
EMAIL_CHANGE_FORM_NEW_EMAIL_FIELD_PLACEHOLDER,Type your new Email Address…,Adresse e-mail,Nieuwe email adres
