Percentage served,Time in ms
0,87.225
1,87.396
2,88.151
3,88.424
4,88.486
5,88.943
6,89.137
7,89.253
8,89.336
9,89.462
10,89.794
11,89.872
12,89.937
13,89.943
14,89.984
15,90.271
16,90.397
17,90.490
18,90.679
19,90.713
20,91.037
21,92.212
22,92.645
23,92.729
24,93.234
25,93.306
26,93.830
27,93.989
28,94.085
29,94.235
30,94.389
31,94.430
32,94.500
33,94.531
34,94.554
35,94.855
36,94.964
37,95.049
38,95.062
39,95.207
40,95.306
41,95.331
42,95.395
43,95.457
44,95.827
45,95.867
46,95.892
47,96.213
48,96.313
49,96.439
50,96.481
51,96.775
52,97.240
53,97.267
54,97.359
55,97.377
56,97.809
57,97.965
58,97.986
59,98.212
60,98.217
61,98.396
62,98.422
63,98.425
64,98.621
65,98.778
66,98.813
67,98.942
68,99.035
69,99.240
70,99.359
71,99.370
72,99.719
73,99.828
74,99.953
75,100.025
76,100.142
77,100.364
78,100.375
79,100.460
80,100.489
81,100.512
82,100.692
83,100.711
84,101.056
85,101.091
86,101.400
87,101.497
88,101.694
89,101.877
90,101.937
91,102.067
92,102.736
93,102.857
94,104.264
95,105.478
96,106.903
97,108.103
98,110.143
99,115.060
